Customer_ID,Booking_Frequency,Avg_Spending,Preferred_Service,Review_Text,Last_Activity
1001,7,258,Body Scrub,Excellent!,3/26/2024
1002,4,367,Massage,Highly recommend,2/19/2024
1003,13,393,Massage,Too expensive,3/27/2024
1004,11,201,Massage,Not satisfied,4/17/2024
1005,8,436,Massage,Staff was friendly,3/23/2024
1006,13,414,Massage,Highly recommend,2/26/2024
1007,5,248,Massage,Not satisfied,4/17/2024
1008,7,138,Massage,Too expensive,2/25/2024
1009,10,297,Massage,Loved it!,3/26/2024
1010,3,372,Massage,Staff was friendly,3/21/2024
1011,7,128,Wellness Package,Will come again,3/6/2024
1012,11,483,Massage,Excellent!,3/18/2024
1013,11,334,Hair Spa,Too expensive,4/1/2024
1014,8,379,Massage,Staff was friendly,3/17/2024
1015,5,81,Body Scrub,Excellent!,4/29/2024
1016,4,136,Body Scrub,Highly recommend,4/11/2024
1017,8,88,Massage,Will come again,3/21/2024
1018,8,442,Massage,Loved it!,3/13/2024
1019,3,150,Body Scrub,Highly recommend,3/2/2024
1020,6,293,Hair Spa,Could be better,4/13/2024
1021,5,281,Facial,Not satisfied,1/14/2024
1022,2,447,Wellness Package,Loved it!,3/6/2024
1023,8,117,Body Scrub,Average service,4/15/2024
1024,12,241,Massage,Loved it!,2/29/2024
1025,14,453,Wellness Package,Excellent!,1/21/2024
1026,6,77,Massage,Loved it!,2/4/2024
1027,2,319,Facial,Too expensive,1/30/2024
1028,12,477,Facial,Highly recommend,3/21/2024
1029,5,275,Body Scrub,Too expensive,2/8/2024
1030,1,126,Wellness Package,Staff was friendly,1/25/2024
1031,12,272,Wellness Package,Average service,2/13/2024
1032,10,421,Facial,Loved it!,2/28/2024
1033,6,216,Massage,Average service,4/12/2024
1034,13,333,Body Scrub,Loved it!,4/8/2024
1035,12,241,Hair Spa,Could be better,1/6/2024
1036,9,138,Facial,Highly recommend,1/3/2024
1037,1,81,Facial,Loved it!,2/5/2024
1038,11,186,Body Scrub,Loved it!,4/21/2024
1039,11,205,Massage,Too expensive,4/20/2024
1040,10,299,Wellness Package,Average service,1/1/2024
1041,12,144,Facial,Loved it!,2/3/2024
1042,12,66,Body Scrub,Will come again,3/5/2024
1043,14,166,Body Scrub,Not satisfied,1/26/2024
1044,14,382,Body Scrub,Will come again,1/18/2024
1045,14,360,Wellness Package,Not satisfied,2/5/2024
1046,3,59,Facial,Not satisfied,1/6/2024
1047,12,129,Body Scrub,Not satisfied,3/15/2024
1048,7,183,Wellness Package,Excellent!,2/13/2024
1049,4,481,Massage,Excellent!,2/9/2024
1050,9,252,Hair Spa,Staff was friendly,1/30/2024
1051,3,165,Facial,Too expensive,3/18/2024
1052,5,269,Wellness Package,Staff was friendly,3/14/2024
1053,3,302,Hair Spa,Excellent!,1/31/2024
1054,7,218,Hair Spa,Loved it!,2/27/2024
1055,5,384,Wellness Package,Will come again,2/24/2024
1056,9,365,Wellness Package,Will come again,2/5/2024
1057,7,254,Wellness Package,Average service,3/19/2024
1058,2,347,Body Scrub,Not satisfied,1/30/2024
1059,4,421,Massage,Great experience,2/17/2024
1060,9,297,Body Scrub,Loved it!,3/18/2024
1061,12,414,Hair Spa,Too expensive,4/20/2024
1062,14,120,Hair Spa,Excellent!,3/27/2024
1063,2,205,Hair Spa,Will come again,1/17/2024
1064,10,151,Wellness Package,Too expensive,1/27/2024
1065,9,62,Facial,Staff was friendly,4/17/2024
1066,10,320,Body Scrub,Will come again,3/3/2024
1067,5,341,Facial,Excellent!,3/17/2024
1068,2,269,Massage,Staff was friendly,1/14/2024
1069,4,64,Massage,Not satisfied,1/26/2024
1070,12,287,Body Scrub,Loved it!,2/12/2024
1071,12,166,Hair Spa,Will come again,3/15/2024
1072,7,380,Massage,Loved it!,4/11/2024
1073,12,105,Facial,Will come again,1/1/2024
1074,13,400,Facial,Could be better,1/24/2024
1075,8,181,Wellness Package,Great experience,1/20/2024
1076,3,275,Hair Spa,Too expensive,3/12/2024
1077,14,357,Wellness Package,Loved it!,1/8/2024
1078,1,443,Body Scrub,Staff was friendly,1/30/2024
1079,4,271,Massage,Not satisfied,1/18/2024
1080,2,222,Wellness Package,Staff was friendly,4/27/2024
1081,8,389,Wellness Package,Too expensive,3/17/2024
1082,4,334,Body Scrub,Highly recommend,4/19/2024
1083,2,358,Facial,Highly recommend,4/20/2024
1084,14,206,Facial,Not satisfied,4/9/2024
1085,6,200,Body Scrub,Could be better,3/23/2024
1086,6,234,Facial,Could be better,1/13/2024
1087,10,227,Body Scrub,Great experience,4/14/2024
1088,4,70,Facial,Will come again,2/17/2024
1089,6,161,Body Scrub,Could be better,2/29/2024
1090,13,220,Facial,Loved it!,1/26/2024
1091,2,187,Wellness Package,Too expensive,1/9/2024
1092,10,282,Wellness Package,Average service,4/7/2024
1093,12,381,Facial,Highly recommend,2/22/2024
1094,2,79,Body Scrub,Will come again,4/4/2024
1095,10,430,Wellness Package,Great experience,4/15/2024
1096,14,356,Massage,Excellent!,3/11/2024
1097,4,210,Facial,Staff was friendly,1/9/2024
1098,14,451,Massage,Loved it!,4/13/2024
1099,8,127,Massage,Could be better,1/26/2024
1100,14,327,Hair Spa,Excellent!,4/25/2024
1101,7,369,Massage,Average service,4/24/2024
1102,12,70,Massage,Great experience,2/2/2024
1103,9,434,Hair Spa,Staff was friendly,2/2/2024
1104,14,412,Hair Spa,Not satisfied,2/21/2024
1105,8,421,Hair Spa,Could be better,2/9/2024
1106,5,429,Body Scrub,Great experience,1/4/2024
1107,13,192,Hair Spa,Loved it!,1/28/2024
1108,2,85,Body Scrub,Staff was friendly,2/23/2024
1109,5,352,Facial,Could be better,3/8/2024
1110,8,487,Body Scrub,Great experience,4/20/2024
1111,10,263,Facial,Great experience,4/7/2024
1112,9,81,Hair Spa,Average service,2/18/2024
1113,12,235,Hair Spa,Could be better,4/13/2024
1114,12,223,Facial,Great experience,4/21/2024
1115,12,103,Wellness Package,Too expensive,1/6/2024
1116,13,210,Body Scrub,Highly recommend,2/2/2024
1117,9,299,Massage,Excellent!,1/5/2024
